Major,Early Career Pay,Mid-Career Pay,% High Meaning
Homeland Security,46800.0,74600.0,71%
Zoology,40300.0,74600.0,67%
English Language,42100.0,74500.0,47%
Human Resources Management (HRM),45300.0,74400.0,55%
Technical Writing,52000.0,74300.0,45%
Automotive Technology & Service Management,45400.0,74300.0,36%
Business Technology,49800.0,74100.0,45%
Mass Communication,42700.0,74100.0,44%
Health Sciences,42400.0,74000.0,70%
Organizational Leadership,47400.0,74000.0,56%
Musicology,38100.0,73900.0,-
Spanish Language,44900.0,73600.0,53%
Historic Preservation,41300.0,73500.0,52%
Music Technology,42900.0,73500.0,38%
Organizational Leadership & Supervision,46400.0,73500.0,50%
Human Nutrition,45500.0,73400.0,84%
Spanish Language Teacher Education,43900.0,73400.0,-
Botany,40300.0,73300.0,72%
Apparel Merchandising,45400.0,73200.0,35%
Environmental Health Science,51400.0,73100.0,64%
Media & Technology,41400.0,73100.0,48%
Public Administration,44200.0,73100.0,58%
Liberal Arts,42500.0,73000.0,53%
Merchandising,50500.0,73000.0,30%
Environmental Resource Management,45700.0,72900.0,62%
Computer Aided Drafting & Design (CADD),46800.0,72800.0,54%
Forestry Management,44300.0,72800.0,73%
German Language & Literature,46100.0,72700.0,48%
Electronics & Computer Technology,51700.0,72700.0,-
Administrative Management,50100.0,72600.0,50%
Cardiopulmonary Science,45800.0,72600.0,89%
3D Animation,49400.0,72500.0,44%
Ethnic Studies,44900.0,72300.0,62%
Adult Education & Training,46200.0,72200.0,79%
Health Administration,40700.0,72200.0,69%
Agricultural Communication,42600.0,72100.0,51%
Organizational Management,46900.0,72100.0,57%
Multimedia,42800.0,72000.0,42%
Communication Design,48700.0,71900.0,34%
Radiologic Science,54900.0,71800.0,81%
Exercise Physiology,41600.0,71700.0,78%
Criminal Justice Administration,43700.0,71600.0,55%
Natural Resource Management,43800.0,71500.0,60%
Diagnostic Medical Imaging,57900.0,71400.0,74%
Earth Science,48200.0,71400.0,50%
Hotel & Restaurant Management,44600.0,71400.0,48%
Radiology,51600.0,71300.0,84%
Art History,44400.0,71200.0,46%
Hospital Management,48500.0,71200.0,34%
Retail Management,45700.0,71200.0,37%
English & Psychology,41100.0,71100.0,47%
Human Resources (HR),44800.0,71100.0,54%
Management & Organization,53900.0,71100.0,68%
Painting & Printmaking,32800.0,71100.0,41%
Visual Effects & Motion Graphics,47400.0,71100.0,43%
Medical Laboratory Technology,54100.0,71000.0,82%
Fashion Merchandising,44100.0,71000.0,30%
Multimedia & Web Design,47500.0,70900.0,34%
Advertising & Graphic Design,44600.0,70800.0,37%
Anthropology,43500.0,70800.0,46%
Broadcast Communication,37900.0,70800.0,48%
Communication Management,42500.0,70800.0,37%
Health Care Administration,43600.0,70800.0,70%
Natural Resources,44900.0,70700.0,66%
Psychology,42000.0,70700.0,56%
Visual Communications,43000.0,70700.0,37%
Applied Behavior Analysis,36900.0,70600.0,-
Travel Industry Management,51800.0,70600.0,-
Humanities,43800.0,70500.0,48%
Sociology & Anthropology,41900.0,70500.0,48%
Communication Arts,40400.0,70500.0,41%
Creative Writing,42800.0,70400.0,43%
Anthropology & English,44900.0,70300.0,58%
Modern Languages,48600.0,70300.0,52%
Health Care Management,44000.0,70200.0,71%
Health Teacher Education,35500.0,70200.0,52%
Radiologic Technology,52100.0,70200.0,82%
Health & Fitness,38000.0,70100.0,67%
Animal Science & Management,42100.0,70000.0,54%
Criminology,42400.0,70000.0,54%
Hospitality Management,43600.0,70000.0,43%
Art Administration,36800.0,70000.0,58%
Human Relations,41100.0,70000.0,62%
Health Information Management,46200.0,69900.0,69%
Medical Laboratory Science,53000.0,69900.0,84%
Liberal Studies,42300.0,69800.0,57%
Secondary & Middle School Mathematics Teacher Education,43100.0,69800.0,71%
Fashion Design & Marketing,42200.0,69700.0,39%
Art & Design,42400.0,69600.0,39%
Physical Anthropology,49300.0,69600.0,39%
Sports Management,42900.0,69600.0,43%
Life Sciences,51900.0,69400.0,59%
Respiratory Care,52300.0,69200.0,84%
Audio Engineering,45900.0,69100.0,37%
Social & Criminal Justice,42300.0,69100.0,58%
Child Psychology,37100.0,68900.0,64%
Interior Design,42400.0,68900.0,50%
Small Business Management,43900.0,68900.0,40%
Turfgrass Management,47700.0,68900.0,49%
Medical Technology,53300.0,68800.0,80%
Religious Studies,41000.0,68800.0,57%
Hotel & Restaurant Tourism,42500.0,68700.0,46%
Sociology,43700.0,68600.0,54%
Arts & Science,43900.0,68500.0,68%
Secondary Education,42700.0,68500.0,62%
Speech Pathology & Audiology,41500.0,68500.0,77%
Theater,42400.0,68400.0,48%
